x,y,z,value,label
462200,6176700,1148.6,53998.3,TMI_nT
462200,6176725,1155.6,53998.6,TMI_nT
462200,6176750,1138.0,53998.3,TMI_nT
462200,6176775,1147.9,54003.7,TMI_nT
462200,6176800,1150.9,53997.0,TMI_nT
462200,6176825,1159.3,54002.3,TMI_nT
462200,6176850,1150.9,54007.3,TMI_nT
462200,6176875,1141.9,53990.4,TMI_nT
462200,6176900,1160.5,54002.2,TMI_nT
462200,6176925,1149.1,53999.6,TMI_nT
462200,6176950,1138.4,54005.4,TMI_nT
462200,6176975,1153.9,53995.2,TMI_nT
462200,6177000,1148.1,54009.3,TMI_nT
462200,6177025,1152.0,54003.2,TMI_nT
462200,6177050,1141.1,54008.0,TMI_nT
462200,6177075,1137.9,54005.3,TMI_nT
462200,6177100,1145.1,53967.0,TMI_nT
462200,6177125,1157.0,53987.3,TMI_nT
462200,6177150,1140.2,54006.2,TMI_nT
462200,6177175,1142.0,54008.3,TMI_nT
462200,6177200,1147.6,53997.0,TMI_nT
462200,6177225,1156.5,53999.3,TMI_nT
462200,6177250,1152.8,54005.5,TMI_nT
462200,6177275,1153.8,54005.5,TMI_nT
462200,6177300,1144.3,53990.1,TMI_nT
462200,6177325,1154.0,53991.9,TMI_nT
462200,6177350,1168.7,53994.4,TMI_nT
462200,6177375,1141.2,53987.5,TMI_nT
462200,6177400,1161.4,54006.4,TMI_nT
462200,6177425,1156.7,54003.2,TMI_nT
462200,6177450,1149.2,54014.1,TMI_nT
462200,6177475,1145.7,53979.8,TMI_nT
462200,6177500,1138.5,54008.2,TMI_nT
462200,6177525,1152.0,53997.1,TMI_nT
462200,6177550,1155.8,53992.8,TMI_nT
462200,6177575,1168.6,54003.5,TMI_nT
462200,6177600,1145.1,54003.8,TMI_nT
462200,6177625,1143.3,53989.6,TMI_nT
462200,6177650,1145.5,54007.6,TMI_nT
462200,6177675,1156.0,53995.3,TMI_nT
462200,6177700,1147.7,53987.3,TMI_nT
462200,6177725,1141.3,53973.8,TMI_nT
